RoomID,BuildingID
100,BL1
101,BL1
102,BL1
103,BL1
104,BL1
105,BL1
106,BL1
107,BL1
108,BL1
109,BL1
110,BL1
111,BL1
112,BL1
113,BL1
114,BL1
115,BL1
116,BL1
117,BL1
118,BL1
119,BL1
120,BL1
121,BL1
122,BL1
123,BL1
124,BL1
125,BL1
200,BL1
201,BL1
202,BL1
203,BL1
204,BL1
205,BL1
206,BL1
207,BL1
208,BL1
209,BL1
210,BL1
211,BL1
212,BL1
213,BL1
214,BL1
215,BL1
216,BL1
217,BL1
218,BL1
219,BL1
220,BL1
221,BL1
222,BL1
223,BL1
224,BL1
225,BL1
300,BL1
301,BL1
302,BL1
303,BL1
304,BL1
305,BL1
306,BL1
307,BL1
308,BL1
309,BL1
310,BL1
311,BL1
312,BL1
313,BL1
314,BL1
315,BL1
316,BL1
317,BL1
318,BL1
319,BL1
320,BL1
321,BL1
322,BL1
323,BL1
324,BL1
325,BL1
400,BL1
401,BL1
402,BL1
403,BL1
404,BL1
405,BL1
406,BL1
407,BL1
408,BL1
409,BL1
410,BL1
411,BL1
412,BL1
413,BL1
414,BL1
415,BL1
416,BL1
417,BL1
418,BL1
419,BL1
420,BL1
421,BL1
422,BL1
423,BL1
424,BL1
425,BL1
500,BL1
501,BL1
502,BL1
503,BL1
504,BL1
505,BL1
506,BL1
507,BL1
508,BL1
509,BL1
510,BL1
511,BL1
512,BL1
513,BL1
514,BL1
515,BL1
516,BL1
517,BL1
518,BL1
519,BL1
520,BL1
521,BL1
522,BL1
523,BL1
524,BL1
525,BL1
600,BL1
601,BL1
602,BL1
603,BL1
604,BL1
605,BL1
606,BL1
607,BL1
608,BL1
609,BL1
610,BL1
611,BL1
612,BL1
613,BL1
614,BL1
615,BL1
616,BL1
617,BL1
618,BL1
619,BL1
620,BL1
621,BL1
622,BL1
623,BL1
624,BL1
625,BL1
700,BL1
701,BL1
702,BL1
703,BL1
704,BL1
705,BL1
706,BL1
707,BL1
708,BL1
709,BL1
710,BL1
711,BL1
712,BL1
713,BL1
714,BL1
715,BL1
716,BL1
717,BL1
718,BL1
719,BL1
720,BL1
721,BL1
722,BL1
723,BL1
724,BL1
725,BL1
100,BL2
101,BL2
102,BL2
103,BL2
104,BL2
105,BL2
106,BL2
107,BL2
108,BL2
109,BL2
110,BL2
111,BL2
112,BL2
113,BL2
114,BL2
115,BL2
116,BL2
117,BL2
118,BL2
119,BL2
120,BL2
121,BL2
122,BL2
123,BL2
124,BL2
125,BL2
200,BL2
201,BL2
202,BL2
203,BL2
204,BL2
205,BL2
206,BL2
207,BL2
208,BL2
209,BL2
210,BL2
211,BL2
212,BL2
213,BL2
214,BL2
215,BL2
216,BL2
217,BL2
218,BL2
219,BL2
220,BL2
221,BL2
222,BL2
223,BL2
224,BL2
225,BL2
300,BL2
301,BL2
302,BL2
303,BL2
304,BL2
305,BL2
306,BL2
307,BL2
308,BL2
309,BL2
310,BL2
311,BL2
312,BL2
313,BL2
314,BL2
315,BL2
316,BL2
317,BL2
318,BL2
319,BL2
320,BL2
321,BL2
322,BL2
323,BL2
324,BL2
325,BL2
400,BL2
401,BL2
402,BL2
403,BL2
404,BL2
405,BL2
406,BL2
407,BL2
408,BL2
409,BL2
410,BL2
411,BL2
412,BL2
413,BL2
414,BL2
415,BL2
416,BL2
417,BL2
418,BL2
419,BL2
420,BL2
421,BL2
422,BL2
423,BL2
424,BL2
425,BL2
500,BL2
501,BL2
502,BL2
503,BL2
504,BL2
505,BL2
506,BL2
507,BL2
508,BL2
509,BL2
510,BL2
511,BL2
512,BL2
513,BL2
514,BL2
515,BL2
516,BL2
517,BL2
518,BL2
519,BL2
520,BL2
521,BL2
522,BL2
523,BL2
524,BL2
525,BL2
600,BL2
601,BL2
602,BL2
603,BL2
604,BL2
605,BL2
606,BL2
607,BL2
608,BL2
609,BL2
610,BL2
611,BL2
612,BL2
613,BL2
614,BL2
615,BL2
616,BL2
617,BL2
618,BL2
619,BL2
620,BL2
621,BL2
622,BL2
623,BL2
624,BL2
625,BL2
700,BL2
701,BL2
702,BL2
703,BL2
704,BL2
705,BL2
706,BL2
707,BL2
708,BL2
709,BL2
710,BL2
711,BL2
712,BL2
713,BL2
714,BL2
715,BL2
716,BL2
717,BL2
718,BL2
719,BL2
720,BL2
721,BL2
722,BL2
723,BL2
724,BL2
725,BL2
100,BL2
101,BL2
102,BL2
103,BL2
104,BL2
105,BL2
106,BL2
107,BL2
108,BL2
109,BL2
110,BL2
111,BL2
112,BL2
113,BL2
114,BL2
115,BL2
116,BL2
117,BL2
118,BL2
119,BL2
120,BL2
121,BL2
122,BL2
123,BL2
124,BL2
125,BL2
200,BL2
201,BL2
202,BL2
203,BL2
204,BL2
205,BL2
206,BL2
207,BL2
208,BL2
209,BL2
210,BL2
211,BL2
212,BL2
213,BL2
214,BL2
215,BL2
216,BL2
217,BL2
218,BL2
219,BL2
220,BL2
221,BL2
222,BL2
223,BL2
224,BL2
225,BL2
300,BL2
301,BL2
302,BL2
303,BL2
304,BL2
305,BL2
306,BL2
307,BL2
308,BL2
309,BL2
310,BL2
311,BL2
312,BL2
313,BL2
314,BL2
315,BL2
316,BL2
317,BL2
318,BL2
319,BL2
320,BL2
321,BL2
322,BL2
323,BL2
324,BL2
325,BL2
400,BL2
401,BL2
402,BL2
403,BL2
404,BL2
405,BL2
406,BL2
407,BL2
408,BL2
409,BL2
410,BL2
411,BL2
412,BL2
413,BL2
414,BL2
415,BL2
416,BL2
417,BL2
418,BL2
419,BL2
420,BL2
421,BL2
422,BL2
423,BL2
424,BL2
425,BL2
500,BL2
501,BL2
502,BL2
503,BL2
504,BL2
505,BL2
506,BL2
507,BL2
508,BL2
509,BL2
510,BL2
511,BL2
512,BL2
513,BL2
514,BL2
515,BL2
516,BL2
517,BL2
518,BL2
519,BL2
520,BL2
521,BL2
522,BL2
523,BL2
524,BL2
525,BL2
600,BL2
601,BL2
602,BL2
603,BL2
604,BL2
605,BL2
606,BL2
607,BL2
608,BL2
609,BL2
610,BL2
611,BL2
612,BL2
613,BL2
614,BL2
615,BL2
616,BL2
617,BL2
618,BL2
619,BL2
620,BL2
621,BL2
622,BL2
623,BL2
624,BL2
625,BL2
700,BL2
701,BL2
702,BL2
703,BL2
704,BL2
705,BL2
706,BL2
707,BL2
708,BL2
709,BL2
710,BL2
711,BL2
712,BL2
713,BL2
714,BL2
715,BL2
716,BL2
717,BL2
718,BL2
719,BL2
720,BL2
721,BL2
722,BL2
723,BL2
724,BL2
725,BL2
HAHA1,WCTV
HAHA2,WCTV
HAHA3,WCTV
HAHA4,WCTV
HAHA5,WCTV
HAHA6,WCTV
HAHA7,WCTV
HAHA8,WCTV
HAHA9,WCTV
HAHA10,WCTV
LOLOL1,WCTV
LOLOL2,WCTV
LOLOL3,WCTV
LOLOL4,WCTV
LOLOL5,WCTV
LOLOL6,WCTV
LOLOL7,WCTV
LOLOL8,WCTV
LOLOL9,WCTV
LOLOL10,WCTV
CRAP,SAHH
